Time UTC;osh_ARV1_ext[0];osh_ARV1_ext[1];osh_ARV1_ext[2];osh_ARV1_ext[3];osh_ARV1_ext[4];osh_ARV1_ext[5];osh_ARV1_ext[6];osh_ARV1_ext[7];osh_ARV1_ext[8];osh_ARV1_ext[9];osh_ARV1_ext[10];osh_ARV1_ext[11];osh_ARV1_ext[12];osh_ARV1_ext[13];osh_ARV1_ext[14];osh_ARV1_ext[15];osh_ARV1_ext[16];osh_ARV1_ext[17];osh_ARV1_ext[18];osh_ARV1_ext[19];osh_ARV1_ext[20];osh_ARV1_ext[21];osh_ARV1_ext[22];osh_ARV1_ext[23];osh_ARV1_ext[24];osh_ARV2_ext[0];osh_ARV2_ext[1];osh_ARV2_ext[2];osh_ARV2_ext[3];osh_ARV2_ext[4];osh_ARV2_ext[5];osh_ARV3_ext[0];osh_ARV3_ext[1];osh_ARV3_ext[2];osh_ARV3_ext[3];osh_ARV3_ext[4];osh_ARV3_ext[5];osh_ARV4_ext[0];osh_ARV4_ext[1];osh_ARV4_ext[2];osh_ARV4_ext[3];osh_ARV4_ext[4];osh_ARV4_ext[5];osh_ARV4_ext[6];osh_ARV4_ext[7];osh_ARV4_ext[8];osh_ARV5_ext[0];osh_ARV5_ext[1];osh_ARV5_ext[2];osh_ARV5_ext[3];osh_ARV6_ext[0];osh_ARV6_ext[1];osh_ARV6_ext[2];osh_ARV6_ext[3];osh_ARV6_ext[4];osh_ARV6_ext[5];osh_ARV7_ext[0];osh_ARV7_ext[1];osh_ARV7_ext[2];osh_ARV7_ext[3];osh_ARV7_ext[4];osh_ARV7_ext[5]
11.05.2024 16:17:22.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;998.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:23.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;998.000;997.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:24.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;997.000;0.000;997.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:25.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;997.000;0.000;997.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:26.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.657;0.001;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:27.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.734;0.001;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:28.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.273;0.001;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:29.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.898;0.001;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:30.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.970;0.001;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
11.05.2024 16:17:31.000000;0.000;0.000;0.000;0.000;0.000;0.000;998.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.918;0.001;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000;0.000;998.000;0.000;0.000;0.000;0.000
