TimeUTC;ГО ГРЭС 1ГТ, U1, В[06222106/U+/none/none];ГО ГРЭС 1ГТ, P, Вт[06222106/P/none/none];ГО ГРЭС 1ГТ, Q, вар[06222106/Q/none/none];ГО ГРЭС 1ГТ, Fu1, Гц[06222106/Fu1/none/none];ГО ГРЭС 3ГТ, U1, В[06222306/U+/none/none];ГО ГРЭС 3ГТ, P, Вт[06222306/P/none/none];ГО ГРЭС 3ГТ, Q, вар[06222306/Q/none/none];ГО ГРЭС 3ГТ, Fu1, Гц[06222306/Fu1/none/none];ГО ГРЭС 5ГТ, U1, В[06222506/U+/none/none];ГО ГРЭС 5ГТ, P, Вт[06222506/P/none/none];ГО ГРЭС 5ГТ, Q, вар[06222506/Q/none/none];ГО ГРЭС 5ГТ, Fu1, Гц[06222506/Fu1/none/none]
11.05.2024 16:17:21.540000;9061,0751953125;169705936;3797037;49,995765686035156;9352,6572265625;125358176;38981976;49,99568176269531;9301,50390625;174894272;42524864;49,995548248291016
11.05.2024 16:17:21.560000;9060,8544921875;169714608;3803890,25;49,99580001831055;9352,5556640625;125340440;38967692;49,9962158203125;9301,59765625;174916752;42512772;49,9956169128418
11.05.2024 16:17:21.580000;9060,7685546875;169753232;3816551,5;49,99626922607422;9352,46875;125337256;38962452;49,99549865722656;9301,4365234375;174944368;42527696;49,99642562866211
11.05.2024 16:17:21.600000;9060,8662109375;169785792;3817628,75;49,995609283447266;9352,5068359375;125330352;38985884;49,99585723876953;9301,2568359375;174972336;42509724;49,99581527709961
11.05.2024 16:17:21.620000;9060,6552734375;169771552;3798533,5;49,99578857421875;9352,5673828125;125343864;39030036;49,99512481689453;9300,8974609375;174966864;42456572;49,99507522583008
11.05.2024 16:17:21.640000;9060,328125;169747184;3782042,25;49,99565505981445;9352,6015625;125320720;39058560;49,995697021484375;9300,380859375;174896688;42424740;49,99539566040039
11.05.2024 16:17:21.660000;9060,4111328125;169731872;3800852;49,9945068359375;9352,302734375;125286848;39042156;49,995079040527344;9300,5517578125;174912784;42406316;49,99557113647461
11.05.2024 16:17:21.680000;9060,5498046875;169780304;3829641;49,995479583740234;9352,2705078125;125238976;39035356;49,99481201171875;9300,46875;174956048;42457020;49,99476623535156
11.05.2024 16:17:21.700000;9060,71875;169769440;3824034,25;49,99468994140625;9352,5390625;125223528;39048628;49,994937896728516;9300,9365234375;174996784;42465632;49,99490737915039
11.05.2024 16:17:21.720000;9060,3310546875;169755968;3810891,5;49,99522399902344;9352,4384765625;125213768;39089472;49,99443054199219;9300,64453125;175019632;42448744;49,99517059326172
11.05.2024 16:17:21.740000;9060,0849609375;169760656;3828678,75;49,994346618652344;9352,251953125;125228968;39125496;49,99397277832031;9300,1416015625;174960544;42399872;49,99419403076172
11.05.2024 16:17:21.760000;9060,03125;169747376;3865052;49,9938850402832;9351,9921875;125175304;39147192;49,994956970214844;9299,53515625;174892304;42366332;49,99440383911133
11.05.2024 16:17:21.780000;9060,0556640625;169753456;3872108,75;49,99468231201172;9352,1953125;125139184;39151124;49,99394226074219;9299,4443359375;174837296;42353496;49,99400329589844
11.05.2024 16:17:21.800000;9060,501953125;169730864;3866262;49,99384689331055;9352,51953125;125134472;39178400;49,99457931518555;9299,8974609375;174852960;42359212;49,99410629272461
11.05.2024 16:17:21.820000;9060,3994140625;169716960;3849543,75;49,993995666503906;9352,6494140625;125142688;39239116;49,99356460571289;9299,8837890625;174834032;42378404;49,994415283203125
11.05.2024 16:17:21.840000;9059,4951171875;169660032;3846345;49,993892669677734;9352,294921875;125142376;39270768;49,99403381347656;9299,4873046875;174826592;42355888;49,993831634521484
11.05.2024 16:17:21.860000;9059,7998046875;169688352;3874848,75;49,993473052978516;9352,001953125;125124152;39285596;49,9940071105957;9298,7734375;174791680;42349004;49,99369430541992
11.05.2024 16:17:21.880000;9059,8994140625;169706720;3916361;49,99380111694336;9351,89453125;125113560;39306864;49,99382019042969;9298,61328125;174765488;42343904;49,99347686767578
11.05.2024 16:17:21.900000;9059,982421875;169735952;3932792,75;49,99321746826172;9352,001953125;125146976;39346480;49,99336624145508;9298,9765625;174821152;42379516;49,99333190917969
11.05.2024 16:17:21.920000;9059,5068359375;169722880;3938968,5;49,99324035644531;9352,1494140625;125138296;39387932;49,99317169189453;9298,91015625;174823760;42418836;49,9938850402832
11.05.2024 16:17:21.940000;9059,6748046875;169667248;3924677,5;49,99319076538086;9352,2021484375;125116024;39421616;49,993629455566406;9298,6728515625;174828448;42395072;49,99344253540039
11.05.2024 16:17:21.960000;9059,048828125;169606176;3916180,5;49,993282318115234;9352,0361328125;125054960;39401640;49,993865966796875;9298,5029296875;174755776;42349456;49,993160247802734
11.05.2024 16:17:21.980000;9059,6201171875;169574448;3942210;49,99347686767578;9352;125038104;39392452;49,99342346191406;9298,1826171875;174731840;42324436;49,99345016479492
