Time UTC;osh_ARV1_ext[0];osh_ARV1_ext[1];osh_ARV1_ext[2];osh_ARV1_ext[3];osh_ARV1_ext[4];osh_ARV1_ext[5];osh_ARV1_ext[6];osh_ARV1_ext[7];osh_ARV1_ext[8];osh_ARV1_ext[9];osh_ARV1_ext[10];osh_ARV1_ext[11];osh_ARV1_ext[12];osh_ARV1_ext[13];osh_ARV1_ext[14];osh_ARV1_ext[15];osh_ARV1_ext[16];osh_ARV1_ext[17];osh_ARV1_ext[18];osh_ARV1_ext[19];osh_ARV1_ext[20];osh_ARV1_ext[21];osh_ARV1_ext[22];osh_ARV1_ext[23];osh_ARV1_ext[24];osh_ARV2_ext[0];osh_ARV2_ext[1];osh_ARV2_ext[2];osh_ARV2_ext[3];osh_ARV2_ext[4];osh_ARV2_ext[5];osh_ARV3_ext[0];osh_ARV3_ext[1];osh_ARV3_ext[2];osh_ARV3_ext[3];osh_ARV3_ext[4];osh_ARV3_ext[5];osh_ARV4_ext[0];osh_ARV4_ext[1];osh_ARV4_ext[2];osh_ARV4_ext[3];osh_ARV4_ext[4];osh_ARV4_ext[5];osh_ARV4_ext[6];osh_ARV4_ext[7];osh_ARV4_ext[8];osh_ARV5_ext[0];osh_ARV5_ext[1];osh_ARV5_ext[2];osh_ARV5_ext[3];osh_ARV6_ext[0];osh_ARV6_ext[1];osh_ARV6_ext[2];osh_ARV6_ext[3];osh_ARV6_ext[4];osh_ARV6_ext[5];osh_ARV7_ext[0];osh_ARV7_ext[1];osh_ARV7_ext[2];osh_ARV7_ext[3];osh_ARV7_ext[4];osh_ARV7_ext[5]
11.11.2023 12:20:11.000000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.443;0.001;0.000;6.000;0.000;200.000;0.000;0.000;0.000;6.000;0.000;200.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;6.000;0.000;200.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:12.000000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.341;0.001;0.000;6.000;0.000;193.000;0.000;0.000;0.000;6.000;0.000;193.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;6.000;0.000;193.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:13.000000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.265;0.001;0.000;6.000;0.000;143.000;0.000;0.000;0.000;6.000;0.000;143.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;6.000;0.000;143.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:14.000000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.297;0.001;0.000;6.000;0.000;93.000;0.000;0.000;0.000;6.000;0.000;93.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;997.000;0.000;0.000;0.000;6.000;0.000;93.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:15.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.429;0.001;0.000;0.000;0.598;43.000;200.000;200.000;0.000;0.000;0.598;43.000;200.000;200.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.354;0.000;0.000;0.598;43.000;200.000;200.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:16.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.982;0.001;0.000;6.000;0.000;114.000;0.000;0.000;0.000;6.000;0.000;114.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.361;0.000;6.000;0.000;114.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:17.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.494;0.000;0.000;0.000;0.598;64.000;200.000;200.000;0.000;0.000;0.598;64.000;200.000;200.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.369;0.000;0.000;0.598;64.000;200.000;200.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:18.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.460;-101.094;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.356;0.000;0.000;6.000;0.000;141.000;0.000;0.000;0.000;6.000;0.000;141.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.377;0.000;6.000;0.000;141.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:19.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.435;0.000;0.000;6.000;0.000;91.000;0.000;0.000;0.000;6.000;0.000;91.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.386;0.000;6.000;0.000;91.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:20.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.504;0.001;0.000;6.000;0.000;136.000;0.000;0.000;0.000;6.000;0.000;136.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.395;0.000;6.000;0.000;136.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:21.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.616;0.000;0.000;0.000;0.598;86.000;200.000;200.000;0.000;0.000;0.598;86.000;200.000;200.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.403;0.000;0.000;0.598;86.000;200.000;200.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:22.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.336;0.001;0.000;0.000;0.598;51.000;200.000;200.000;0.000;0.000;0.598;51.000;200.000;200.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.410;0.000;0.000;0.598;51.000;200.000;200.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:23.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.965;0.001;0.000;0.000;0.598;66.000;200.000;200.000;0.000;0.000;0.598;66.000;200.000;200.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.420;0.000;0.000;0.598;66.000;200.000;200.000;0.000;999.000;0.000;0.000;0.000;0.000
11.11.2023 12:20:24.000000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.348;0.001;0.000;6.000;0.000;200.000;0.000;0.000;0.000;6.000;0.000;200.000;0.000;0.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-62.431;0.000;6.000;0.000;200.000;0.000;0.000;0.000;999.000;0.000;0.000;0.000;0.000
