Âðåìÿ, [ñ];Ug, [êÂ];Pg, [ÌÂò];Qg, [ÌÂàð];Fg, [Ãö];Uf, [Â];If, [À]
96.16;209.9967048;319.8332133;307.4132977;49.99992371;0.526687622;0.521556079
96.18;209.9967127;319.8329559;307.4158989;49.99993134;0.524594069;0.521547139
96.2;209.9961303;319.8273146;307.4007275;49.99991989;0.525073469;0.521507442
96.22;209.9953507;319.8204691;307.3772973;49.99991226;0.525720179;0.521489561
96.24;209.9949008;319.8171753;307.3630942;49.99991608;0.52665168;0.521502793
96.26;209.9948018;319.8170671;307.3603621;49.99991608;0.526544273;0.521517217
96.28;209.9947017;319.8164967;307.3580904;49.99991608;0.525596917;0.5215168
96.3;209.9944445;319.8143461;307.3509574;49.99991608;0.525968432;0.52150315
96.32;209.994224;319.8126817;307.3446888;49.99991608;0.526281834;0.521509051
96.34;209.994075;319.8116428;307.3405737;49.99991608;0.526148736;0.521508336
96.36;209.9938944;319.8101874;307.3353864;49.99991608;0.526036918;0.521501601
96.38;209.9936961;319.808636;307.3299233;49.99991608;0.526010036;0.521503031
96.4;209.9935202;319.8073031;307.3250064;49.99991989;0.525914192;0.521501243
96.42;209.9933714;319.8060537;307.320726;49.99991989;0.526472926;0.521499813
96.44;209.9932315;319.8049478;307.3163452;49.99991226;0.525892913;0.521501958
96.46;209.9932786;319.8056853;307.316314;49.99990463;0.52725774;0.521504879
96.48;209.9937676;319.8104243;307.3296363;49.99991608;0.527440131;0.521541059
96.5;209.9944931;319.8167099;307.3512417;49.99992371;0.526875556;0.521553755
96.52;209.9951051;319.8213441;307.3691163;49.99991989;0.526539743;0.521554291
96.54;209.9954968;319.8241721;307.3805069;49.99991989;0.526383877;0.521549165
96.56;209.9957766;319.8261258;307.3883193;49.99991989;0.526485264;0.521546841
96.58;209.9960786;319.8282894;307.3958756;49.99991608;0.526518226;0.521551013
96.6;209.996448;319.8311967;307.4055771;49.99991989;0.526579857;0.521553576
96.62;209.9966817;319.8329845;307.413787;49.99993134;0.526688695;0.521556914
96.64;209.9964018;319.8300615;307.408349;49.99992752;0.524507821;0.521522701
96.66;209.995721;319.8237265;307.388642;49.99991226;0.525603056;0.521500647
96.68;209.9950898;319.8185614;307.3691076;49.99991226;0.525823951;0.521494746
96.7;209.9947702;319.8164642;307.3595261;49.99991608;0.526632369;0.521506906
96.72;209.9946661;319.8161692;307.3569324;49.99991608;0.526239932;0.521517456
96.74;209.9944941;319.8148206;307.3521957;49.99991608;0.525706112;0.5215078
96.76;209.9942373;319.8128088;307.3451532;49.99991608;0.52641958;0.5215047
96.78;209.9940525;319.8114518;307.339828;49.99991608;0.525740266;0.521508396
96.8;209.9939126;319.8103763;307.3357573;49.99991608;0.526411951;0.521504164
96.82;209.9937455;319.8090952;307.3312202;49.99991608;0.525867283;0.521505356
96.84;209.9935336;319.8073937;307.3254235;49.99991608;0.526068628;0.521496117
96.86;209.993385;319.8062054;307.3209512;49.99991989;0.526332617;0.521503508
96.88;209.9932357;319.804988;307.3167017;49.99991608;0.525907576;0.521498978
96.9;209.9930969;319.8039251;307.3121481;49.99990845;0.526099741;0.521497309
96.92;209.9933158;319.8063349;307.3171152;49.99990845;0.527682364;0.521519005
96.94;209.9939615;319.8123469;307.3355111;49.99991989;0.527299941;0.521547079
96.96;209.9946818;319.8181956;307.3566175;49.99992371;0.526801229;0.52155441
96.98;209.9952083;319.8220144;307.371747;49.99991989;0.526257455;0.521552563
97;209.9955329;319.8242967;307.3812135;49.99991989;0.526418447;0.521546543
97.02;209.9958037;319.8262782;307.3887348;49.99991608;0.526547849;0.521546543
97.04;209.996128;319.8286526;307.3969521;49.99991608;0.526628852;0.521551371
97.06;209.9964934;319.8315832;307.4069142;49.99992371;0.526563048;0.521553993
97.08;209.9967278;319.8333345;307.4152048;49.99993134;0.526295245;0.521559477
97.1;209.9964699;319.8306103;307.4103126;49.99992752;0.524756372;0.521524906
97.12;209.9957472;319.8239181;307.3894436;49.99991226;0.52506268;0.521497488
97.14;209.9950081;319.8177589;307.3667903;49.99991226;0.526016176;0.521487355
97.16;209.9946576;319.8155197;307.3562776;49.99991608;0.526798785;0.521505654
97.18;209.9946166;319.8158142;307.3553137;49.99991608;0.526157558;0.521520793
97.2;209.9944804;319.8148445;307.3519803;49.99991608;0.525700867;0.521509588
97.22;209.9942461;319.8129398;307.3454075;49.99991608;0.526394904;0.521505415
97.24;209.9940613;319.8114822;307.340059;49.99991608;0.525874138;0.521507144
97.26;209.9939081;319.8103893;307.3357087;49.99991608;0.526407361;0.521503925
97.28;209.993741;319.8090274;307.331106;49.99991608;0.52571702;0.521506429
97.3;209.9935336;319.80738;307.3253308;49.99991608;0.526071489;0.521496058
97.32;209.9933757;319.8061079;307.3207475;49.99991989;0.526334345;0.521503508
97.34;209.9932222;319.8048244;307.3161899;49.99991608;0.526051939;0.521497726
97.36;209.993188;319.8047161;307.3140139;49.99990845;0.526693583;0.52150178
97.38;209.9935826;319.8087178;307.3243971;49.99991226;0.527554333;0.521533549
97.4;209.9942816;319.8150529;307.3451636;49.99992371;0.527042627;0.521552086
97.42;209.9949295;319.8201077;307.3641633;49.99992371;0.526659131;0.521553636
97.44;209.9953706;319.8232195;307.376841;49.99991989;0.526402533;0.52154994
97.46;209.9956774;319.8253604;307.3853956;49.99991989;0.526459336;0.521546662
97.48;209.9959658;319.8274485;307.3929464;49.99991608;0.526503682;0.521550059
97.5;209.9963038;319.8300154;307.4017522;49.99991608;0.526580453;0.521552503
97.52;209.9966599;319.8329243;307.4120297;49.99992371;0.526695311;0.521555901
97.54;209.9966768;319.8326578;307.4147749;49.99993134;0.524742961;0.521545768
97.56;209.9960852;319.8269722;307.3995792;49.99991989;0.525068343;0.521506965
97.58;209.9953102;319.8201381;307.3760868;49.99991226;0.525578618;0.521490276
97.6;209.9948559;319.8168115;307.3618399;49.99991608;0.526645422;0.521502197
97.62;209.9947432;319.8166507;307.3590146;49.99991608;0.526543081;0.521516562
97.64;209.9946429;319.8161108;307.3566685;49.99991608;0.525751233;0.521515012
97.66;209.9943947;319.8139998;307.3495858;49.99991608;0.525977314;0.521502793
97.68;209.9941832;319.8123367;307.3434712;49.99991608;0.526130557;0.521510124
97.7;209.9940386;319.8113583;307.339457;49.99991608;0.526147068;0.521508038
97.72;209.9938582;319.8098693;307.3342617;49.99991608;0.526034951;0.521501243
97.74;209.9936553;319.8083262;307.3287761;49.99991608;0.526155353;0.521501362
97.76;209.9934797;319.8070284;307.323887;49.99991608;0.525914609;0.521500826
97.78;209.9933349;319.8057965;307.3195807;49.99991989;0.526326537;0.521500766
97.8;209.9931954;319.8046768;307.3152783;49.99991226;0.52589339;0.521501601
97.82;209.9932379;319.8053983;307.3152499;49.99990463;0.527258098;0.521504521
97.84;209.993727;319.8101328;307.3285556;49.99991608;0.527597725;0.52153933
97.86;209.9944616;319.8164916;307.3501763;49.99992371;0.526875854;0.521553457
97.88;209.9950734;319.8211442;307.3680747;49.99992371;0.526385486;0.521555245
97.9;209.9954743;319.8239278;307.3795387;49.99991989;0.526384413;0.521548808
97.92;209.995745;319.8258694;307.3873577;49.99991989;0.526485741;0.521546543
97.94;209.996047;319.8280467;307.3949211;49.99991608;0.526672781;0.521549404
97.96;209.9964166;319.8309234;307.4046542;49.99991989;0.526580155;0.521553278
97.98;209.9966591;319.8327738;307.4128693;49.99993134;0.526535273;0.521557927
98;209.9963745;319.8298624;307.4074913;49.99992752;0.524514496;0.521522522
98.02;209.9956982;319.8235339;307.3879191;49.99991226;0.525603473;0.521500528
98.04;209.9950673;319.8183902;307.3684053;49.99991226;0.525963843;0.521493256
98.06;209.994743;319.8163045;307.3587982;49.99991608;0.5266307;0.521506667
98.08;209.9946391;319.8159987;307.3561941;49.99991608;0.526084483;0.521518469
98.1;209.9944715;319.8146799;307.3514616;49.99991608;0.525710523;0.521507561
98.12;209.9942146;319.8126542;307.3445403;49.99991608;0.526424229;0.521504581
98.14;209.9940344;319.8113193;307.3392913;49.99991608;0.525891006;0.521507084
98.16;209.9938945;319.8102287;307.3352365;49.99991608;0.526409745;0.521503985
98.18;209.9937182;319.8089065;307.3305865;49.99991608;0.525693774;0.521506369
98.2;209.9935064;319.8071852;307.3246181;49.99991608;0.526070893;0.521495461
98.22;209.9933534;319.8060098;307.3200972;49.99991989;0.526341558;0.52150321
98.24;209.9931996;319.8047597;307.3159323;49.99991608;0.526055336;0.521497548
98.26;209.9930698;319.8037501;307.3114361;49.99990845;0.526099861;0.52149713
98.28;209.9932932;319.8061529;307.3164881;49.99990845;0.527528882;0.521520257
98.3;209.9939345;319.8121718;307.3348844;49.99991989;0.527299643;0.5215469
98.32;209.9946503;319.8179969;307.3559803;49.99992371;0.526801229;0.521554172
98.34;209.9951677;319.8218188;307.3711005;49.99991989;0.526411414;0.521551132
98.36;209.9955059;319.8241079;307.3806226;49.99991989;0.526418865;0.521546304
98.38;209.9957855;319.8261306;307.3881285;49.99991989;0.526391625;0.521547616
98.4;209.9961054;319.8284601;307.3962293;49.99991608;0.526615202;0.521550894
98.42;209.9964664;319.8313245;307.4060115;49.99991989;0.526553929;0.521553338
98.44;209.9966917;319.8330301;307.4141726;49.99993134;0.526465237;0.521557689
98.46;209.9964383;319.8303449;307.4093605;49.99992752;0.524766803;0.521524727
98.48;209.9957156;319.8236982;307.3886578;49.99991226;0.524919987;0.521498561
98.5;209.9949764;319.817568;307.3659957;49.99991226;0.526010394;0.521487117
98.52;209.994626;319.8152312;307.3552425;49.99991608;0.526798368;0.521505356
98.54;209.9946215;319.8158847;307.3554672;49.99991989;0.52653718;0.521519601
98.56;209.9945616;319.8156057;307.3543619;49.99991608;0.525685608;0.521515608
98.58;209.9942546;319.8129564;307.3458879;49.99991608;0.525565684;0.521502256
98.6;209.9939896;319.8107968;307.3379458;49.99991608;0.526521087;0.521501303
98.62;209.9938947;319.8102896;307.3353012;49.99991608;0.526280344;0.521511555
98.64;209.9937455;319.8091714;307.3315254;49.99991608;0.525740266;0.521502256
98.66;209.9935562;319.8075956;307.3260512;49.99991608;0.526457608;0.521499693
98.68;209.9933936;319.8063014;307.3214345;49.99991989;0.525751233;0.521503568
98.7;209.993177;319.8044573;307.3150673;49.99991608;0.526090622;0.521493733
98.72;209.9931837;319.8047245;307.3139485;49.99990845;0.527107;0.52150619
98.74;209.9936774;319.8096415;307.3272707;49.99991226;0.52761215;0.521537244
98.76;209.9944032;319.8160081;307.3484712;49.99992371;0.526934028;0.52155292
98.78;209.9950062;319.8205968;307.366259;49.99992371;0.526461244;0.521553993
98.8;209.9954112;319.8235002;307.377997;49.99991989;0.52640748;0.521549106
98.82;209.995709;319.8256183;307.3863341;49.99991989;0.526484072;0.521546721
98.84;209.9960019;319.8277604;307.3939919;49.99991608;0.526666641;0.521549344
98.86;209.9963535;319.8304241;307.4030375;49.99991608;0.526571095;0.52155298
98.88;209.9967002;319.8331912;307.4131786;49.99992752;0.526537836;0.52155745
98.9;209.9966402;319.8322207;307.413945;49.99993134;0.524447322;0.521540523
98.92;209.9959815;319.826014;307.3965434;49.99991989;0.525177538;0.521503031
98.94;209.9952202;319.8194122;307.3732989;49.99991226;0.525850177;0.521489203
98.96;209.9948198;319.8165742;307.3607379;49.99991608;0.526690483;0.521504283
98.98;209.9947477;319.8167156;307.3589609;49.99991608;0.526372492;0.521519303
99;209.9946565;319.8161847;307.356825;49.99991608;0.52572602;0.521515369
99.02;209.9943949;319.8139617;307.3495613;49.99991608;0.525966167;0.521502554
99.04;209.9941742;319.8122712;307.3432555;49.99991608;0.526284993;0.521508515
99.06;209.9940252;319.8112478;307.3392102;49.99991608;0.526150584;0.521507859
99.08;209.9938403;319.8097992;307.3340233;49.99991608;0.525893569;0.521502435
99.1;209.9936508;319.8082646;307.328613;49.99991608;0.526156306;0.521501303
99.12;209.9934796;319.8069293;307.323755;49.99991989;0.525914788;0.521500826
99.14;209.9933351;319.8057095;307.3194787;49.99991989;0.526473582;0.521499455
99.16;209.9931954;319.8046144;307.3151937;49.99991226;0.525893569;0.521501541
99.18;209.9932244;319.8052848;307.3149636;49.99990463;0.527053773;0.521505833
99.2;209.9936955;319.809867;307.3278174;49.99991608;0.527605414;0.521538079
99.22;209.9944256;319.8162069;307.3492732;49.99992371;0.526901543;0.521553099
99.24;209.9950464;319.8209265;307.3674071;49.99991989;0.526550233;0.521554112
99.26;209.9954517;319.8238084;307.379039;49.99991989;0.526385009;0.521548927
99.28;209.995727;319.825775;307.3869737;49.99991989;0.526330829;0.521547794
99.3;209.9960335;319.8279256;307.3945785;49.99991608;0.526671171;0.521549344
99.32;209.9963894;319.8306966;307.4038678;49.99991989;0.526579976;0.521553159
99.34;209.996669;319.8328793;307.4129154;49.99993134;0.52668941;0.521556497
99.36;209.9965335;319.8313081;307.4117656;49.99992752;0.524813831;0.521534443
99.38;209.9959464;319.8257798;307.3954379;49.99991608;0.525197268;0.521507919
99.4;209.9952605;319.8199188;307.374391;49.99991226;0.525763333;0.521492064
99.42;209.9948422;319.8169144;307.3617128;49.99991608;0.526604056;0.521503866
99.44;209.9947477;319.8167217;307.3589546;49.99991608;0.526511669;0.521516681
99.46;209.9946384;319.8160522;307.3563311;49.99991608;0.525740802;0.521514595
99.48;209.9943814;319.8139307;307.3490611;49.99991608;0.525838315;0.521503687
99.5;209.9941607;319.8122402;307.342969;49.99991608;0.526292503;0.521508694
99.52;209.9940208;319.8113005;307.3390348;49.99991608;0.526151657;0.521508038
99.54;209.9938402;319.809842;307.333936;49.99991608;0.526036382;0.521501243
99.56;209.9936509;319.8083271;307.3285693;49.99991608;0.526155829;0.521501362
99.58;209.9934796;319.8069964;307.3237279;49.99991989;0.525763512;0.521502078
99.6;209.993308;319.805568;307.3189028;49.99991608;0.526474714;0.521499455
99.62;209.9932323;319.8050778;307.315975;49.99990845;0.526064157;0.521501958
99.64;209.9934783;319.8076747;307.3218551;49.99990845;0.527609646;0.521520972
99.66;209.9941058;319.8134277;307.3395685;49.99991989;0.527268589;0.521547616
99.68;209.9948036;319.8191172;307.3600456;49.99992371;0.526646495;0.521556139
99.7;209.9953077;319.8228575;307.374953;49.99991989;0.526417255;0.521552145
99.72;209.9956368;319.8251603;307.3844333;49.99991989;0.52642858;0.521547616
99.74;209.9959209;319.8271806;307.3919554;49.99991608;0.526545703;0.521547794
99.76;209.9962319;319.8295496;307.4000514;49.99991608;0.526610792;0.521552205
99.78;209.9966059;319.8323858;307.40999;49.99992371;0.526401162;0.521555841
99.8;209.9968171;319.8337554;307.4174131;49.99993515;0.526291728;0.521558046
99.82;209.9964782;319.8303295;307.4102265;49.99992371;0.524714887;0.521520555
99.84;209.9957113;319.8235344;307.3884086;49.99991226;0.525201142;0.521496177
99.86;209.9950852;319.8184752;307.3688416;49.99991608;0.52643609;0.521494985
99.88;209.9948606;319.8172484;307.3619543;49.99991608;0.52651006;0.521513939
99.9;209.9948193;319.8174008;307.3612451;49.99991608;0.526176512;0.521520913
99.92;209.9946337;319.8159157;307.3563099;49.99991608;0.525651991;0.521508992
99.94;209.994359;319.8136891;307.3486027;49.99991608;0.526401639;0.521505058
99.96;209.9941562;319.8121724;307.3428977;49.99991608;0.525894105;0.521507621
99.98;209.9940027;319.8110659;307.338626;49.99991608;0.526272237;0.52150625
100;209.9938402;319.8098084;307.3340564;49.99991608;0.525870502;0.52150631
