TimeUTC;Калининград ТЭЦ-2 Г-12, Fa, Гц[01201703/FA/none/none];Калининград ТЭЦ-2 Г-12, U1, В[01201703/U+/none/none];Калининград ТЭЦ-2 Г-12, P, Вт[01201703/P/none/none];Калининград ТЭЦ-2 Г-12, Q, вар[01201703/Q/none/none]
15.01.2022 21:00:00.000000;50,0397987365723;8927,1904296875;147857920;-10390662
15.01.2022 21:00:00.020000;50,0419006347656;8927,099609375;148024464;-10420571
15.01.2022 21:00:00.040000;50,0423011779785;8927,0498046875;148262752;-10408937
15.01.2022 21:00:00.060000;50,0401992797852;8926,830078125;148312848;-10368465
15.01.2022 21:00:00.080000;50,0391998291016;8926,830078125;148276560;-10350727
15.01.2022 21:00:00.100000;50,0410995483398;8927,259765625;148388736;-10408368
15.01.2022 21:00:00.120000;50,0420989990234;8927,3896484375;148566672;-10510724
15.01.2022 21:00:00.140000;50,0404014587402;8927,01953125;148592976;-10529713
15.01.2022 21:00:00.160000;50,0395011901855;8927,1904296875;148525760;-10403834
15.01.2022 21:00:00.180000;50,0410995483398;8928,0595703125;148585840;-10248709
15.01.2022 21:00:00.200000;50,0419998168945;8928,2099609375;148723616;-10234603
15.01.2022 21:00:00.220000;50,0399017333984;8926,8203125;148635344;-10366611
15.01.2022 21:00:00.240000;50,0376014709473;8925,2998046875;148292624;-10478906
15.01.2022 21:00:00.260000;50,0388984680176;8925,6904296875;148084576;-10460419
15.01.2022 21:00:00.280000;50,0419998168945;8927,4599609375;148222080;-10359542
15.01.2022 21:00:00.300000;50,0418014526367;8928,080078125;148374480;-10300043
15.01.2022 21:00:00.320000;50,0383987426758;8926,900390625;148190064;-10357661
15.01.2022 21:00:00.340000;50,0373001098633;8925,9599609375;147864288;-10478642
15.01.2022 21:00:00.360000;50,0400009155273;8926,4501953125;147838496;-10553946
15.01.2022 21:00:00.380000;50,0416984558105;8927,099609375;148086176;-10546583
15.01.2022 21:00:00.400000;50,0396003723145;8926,740234375;148163104;-10490863
15.01.2022 21:00:00.420000;50,0377006530762;8926,23046875;147952240;-10447562
15.01.2022 21:00:00.440000;50,0391998291016;8926,509765625;147808528;-10464518
15.01.2022 21:00:00.460000;50,0410995483398;8926,7802734375;147921296;-10511718
15.01.2022 21:00:00.480000;50,0402984619141;8926,2197265625;148029424;-10509003
15.01.2022 21:00:00.500000;50,038200378418;8925,5703125;147899360;-10457778
15.01.2022 21:00:00.520000;50,0387001037598;8925,830078125;147757264;-10441587
15.01.2022 21:00:00.540000;50,0410003662109;8926,6201171875;147932448;-10462928
15.01.2022 21:00:00.560000;50,0410995483398;8927;148253744;-10433952
15.01.2022 21:00:00.580000;50,0386009216309;8926,8701171875;148290160;-10365948
15.01.2022 21:00:00.600000;50,0376014709473;8926,990234375;148078064;-10372471
15.01.2022 21:00:00.620000;50,0396995544434;8927,5400390625;148047328;-10459732
15.01.2022 21:00:00.640000;50,0413017272949;8927,6796875;148262352;-10505110
15.01.2022 21:00:00.660000;50,0396995544434;8927,1103515625;148326816;-10456260
15.01.2022 21:00:00.680000;50,0382995605469;8926,76953125;148134384;-10390640
15.01.2022 21:00:00.700000;50,0396003723145;8926,919921875;148069584;-10385598
15.01.2022 21:00:00.720000;50,0407981872559;8926,6201171875;148301360;-10443807
15.01.2022 21:00:00.740000;50,0396995544434;8925,8203125;148492480;-10503700
15.01.2022 21:00:00.760000;50,0386009216309;8925,7900390625;148400368;-10491202
15.01.2022 21:00:00.780000;50,0397987365723;8926,849609375;148328368;-10415571
15.01.2022 21:00:00.800000;50,0411987304688;8927,7099609375;148599952;-10362818
15.01.2022 21:00:00.820000;50,0401992797852;8927,41015625;148881792;-10379076
15.01.2022 21:00:00.840000;50,0376014709473;8926,6796875;148705408;-10439998
15.01.2022 21:00:00.860000;50,0373001098633;8926,599609375;148317296;-10508531
15.01.2022 21:00:00.880000;50,0395011901855;8926,8701171875;148259760;-10564307
15.01.2022 21:00:00.900000;50,0402984619141;8926,6796875;148472896;-10586551
15.01.2022 21:00:00.920000;50,0386009216309;8926,33984375;148438608;-10565248
15.01.2022 21:00:00.940000;50,037899017334;8926,5;148090464;-10526758
15.01.2022 21:00:00.960000;50,0393981933594;8926,9296875;147947184;-10495334
15.01.2022 21:00:00.980000;50,0405006408691;8926,900390625;148171936;-10464446
15.01.2022 21:00:01.000000;50,0391998291016;8926,3896484375;148280176;-10427959
15.01.2022 21:00:01.020000;50,0377006530762;8926,1796875;148045728;-10395374
15.01.2022 21:00:01.040000;50,0383987426758;8926,51953125;147861296;-10400910
15.01.2022 21:00:01.060000;50,0400009155273;8926,7998046875;147971104;-10479680
15.01.2022 21:00:01.080000;50,0399017333984;8926,7099609375;148069536;-10570993
15.01.2022 21:00:01.100000;50,0388984680176;8926,7998046875;147908032;-10560220
15.01.2022 21:00:01.120000;50,0390014648438;8927,26953125;147756048;-10461974
15.01.2022 21:00:01.140000;50,0402984619141;8927,5595703125;147914192;-10399893
15.01.2022 21:00:01.160000;50,040699005127;8927,25;148146144;-10419290
15.01.2022 21:00:01.180000;50,0395011901855;8926,6796875;148083968;-10447192
15.01.2022 21:00:01.200000;50,0390014648438;8926,5498046875;147915392;-10409119
15.01.2022 21:00:01.220000;50,0401992797852;8927,1201171875;148052064;-10342837
15.01.2022 21:00:01.240000;50,0410995483398;8927,75;148371440;-10336175
15.01.2022 21:00:01.260000;50,0405006408691;8927,9599609375;148443840;-10389935
15.01.2022 21:00:01.280000;50,0391998291016;8927,849609375;148259248;-10448398
15.01.2022 21:00:01.300000;50,0390014648438;8927,7900390625;148195024;-10475049
15.01.2022 21:00:01.320000;50,0401000976563;8928,080078125;148397232;-10471165
15.01.2022 21:00:01.340000;50,0407981872559;8928,5498046875;148557184;-10452690
15.01.2022 21:00:01.360000;50,0402984619141;8928,669921875;148421728;-10421119
15.01.2022 21:00:01.380000;50,0393981933594;8928,3896484375;148215776;-10395534
15.01.2022 21:00:01.400000;50,0396995544434;8928,169921875;148221408;-10398011
15.01.2022 21:00:01.420000;50,0405006408691;8928,23046875;148303216;-10401511
15.01.2022 21:00:01.440000;50,0401992797852;8928,3095703125;148215248;-10384927
15.01.2022 21:00:01.460000;50,0392990112305;8928,1796875;148024096;-10393829
15.01.2022 21:00:01.480000;50,0391998291016;8927,9501953125;147932880;-10465617
15.01.2022 21:00:01.500000;50,0399017333984;8927,8896484375;147939296;-10546362
15.01.2022 21:00:01.520000;50,0399017333984;8928,1396484375;147905696;-10560901
15.01.2022 21:00:01.540000;50,0396003723145;8928,58984375;147822000;-10519721
15.01.2022 21:00:01.560000;50,0396995544434;8928,9599609375;147794576;-10487400
15.01.2022 21:00:01.580000;50,0401992797852;8929,0302734375;147834112;-10485712
15.01.2022 21:00:01.600000;50,0402984619141;8928,8603515625;147810944;-10481621
15.01.2022 21:00:01.620000;50,0396003723145;8928,58984375;147688352;-10453879
15.01.2022 21:00:01.640000;50,0391998291016;8928,5302734375;147637088;-10418604
15.01.2022 21:00:01.660000;50,0397987365723;8928,759765625;147757024;-10385400
15.01.2022 21:00:01.680000;50,0397987365723;8928,98046875;147890080;-10362238
15.01.2022 21:00:01.700000;50,0388984680176;8928,9697265625;147865552;-10398641
15.01.2022 21:00:01.720000;50,0386009216309;8928,7998046875;147765904;-10509291
15.01.2022 21:00:01.740000;50,0391998291016;8928,5703125;147796448;-10608876
15.01.2022 21:00:01.760000;50,0396995544434;8928,490234375;147952560;-10607435
15.01.2022 21:00:01.780000;50,0393981933594;8928,5703125;148043600;-10503180
15.01.2022 21:00:01.800000;50,0390014648438;8928,740234375;148055584;-10385532
15.01.2022 21:00:01.820000;50,0393981933594;8928,900390625;148173744;-10325755
15.01.2022 21:00:01.840000;50,0397987365723;8928,900390625;148410192;-10284031
15.01.2022 21:00:01.860000;50,0390014648438;8928,669921875;148537904;-10228683
15.01.2022 21:00:01.880000;50,038200378418;8928,51953125;148475216;-10216490
15.01.2022 21:00:01.900000;50,0387001037598;8928,58984375;148440144;-10274133
15.01.2022 21:00:01.920000;50,0388984680176;8928,400390625;148547136;-10364331
15.01.2022 21:00:01.940000;50,038200378418;8927,83984375;148573024;-10451704
15.01.2022 21:00:01.960000;50,0377998352051;8927,580078125;148379344;-10499219
15.01.2022 21:00:01.980000;50,0386009216309;8927,8701171875;148226368;-10489343
15.01.2022 21:00:02.000000;50,0396003723145;8928,4296875;148347136;-10449297
15.01.2022 21:00:02.020000;50,0392990112305;8928,7998046875;148524656;-10404324
15.01.2022 21:00:02.040000;50,0379981994629;8928,6201171875;148438288;-10382963
15.01.2022 21:00:02.060000;50,0377998352051;8928,2001953125;148168384;-10416838
15.01.2022 21:00:02.080000;50,0390014648438;8928;148049440;-10480251
15.01.2022 21:00:02.100000;50,0392990112305;8927,919921875;148145440;-10518580
15.01.2022 21:00:02.120000;50,038200378418;8927,830078125;148187328;-10517220
15.01.2022 21:00:02.140000;50,0377006530762;8927,919921875;148075296;-10493433
15.01.2022 21:00:02.160000;50,038501739502;8928,349609375;148045520;-10493054
15.01.2022 21:00:02.180000;50,0391006469727;8928,9296875;148202496;-10545859
15.01.2022 21:00:02.200000;50,0387001037598;8929,240234375;148302336;-10582235
15.01.2022 21:00:02.220000;50,038200378418;8929,1904296875;148177888;-10543275
15.01.2022 21:00:02.240000;50,0386009216309;8929,08984375;148021312;-10502288
15.01.2022 21:00:02.260000;50,0391998291016;8928,849609375;148016624;-10543527
15.01.2022 21:00:02.280000;50,0390014648438;8928,4296875;148039120;-10629609
15.01.2022 21:00:02.300000;50,0387001037598;8928,3095703125;147972240;-10643507
15.01.2022 21:00:02.320000;50,0393981933594;8928,7802734375;147981648;-10534520
15.01.2022 21:00:02.340000;50,0405006408691;8929,4599609375;148210240;-10403061
15.01.2022 21:00:02.360000;50,0401992797852;8929,7900390625;148468368;-10380162
15.01.2022 21:00:02.380000;50,0387001037598;8929,6396484375;148498208;-10451805
15.01.2022 21:00:02.400000;50,0382995605469;8929,3603515625;148381056;-10506515
15.01.2022 21:00:02.420000;50,0392990112305;8929,3095703125;148400576;-10508584
15.01.2022 21:00:02.440000;50,0401000976563;8929,51953125;148596048;-10502952
15.01.2022 21:00:02.460000;50,0395011901855;8929,8701171875;148740800;-10488424
15.01.2022 21:00:02.480000;50,0386009216309;8930,080078125;148687728;-10445120
15.01.2022 21:00:02.500000;50,0387992858887;8929,8203125;148539728;-10440348
15.01.2022 21:00:02.520000;50,0396995544434;8929,26953125;148495152;-10513893
15.01.2022 21:00:02.540000;50,0399017333984;8928,9296875;148562208;-10569477
15.01.2022 21:00:02.560000;50,0391998291016;8929,0302734375;148575008;-10529700
15.01.2022 21:00:02.580000;50,0391998291016;8929,6103515625;148528400;-10439931
15.01.2022 21:00:02.600000;50,0401992797852;8930,33984375;148583280;-10382100
15.01.2022 21:00:02.620000;50,0399017333984;8930,5595703125;148703392;-10410187
15.01.2022 21:00:02.640000;50,037899017334;8930,1396484375;148661408;-10518164
15.01.2022 21:00:02.660000;50,0372009277344;8929,83984375;148422400;-10623852
15.01.2022 21:00:02.680000;50,0387992858887;8930;148197344;-10661471
15.01.2022 21:00:02.700000;50,0399017333984;8930,009765625;148118208;-10660161
15.01.2022 21:00:02.720000;50,0390014648438;8929,759765625;148090832;-10644770
15.01.2022 21:00:02.740000;50,0383987426758;8930,0595703125;147987024;-10572444
15.01.2022 21:00:02.760000;50,0396003723145;8930,990234375;147833536;-10461876
15.01.2022 21:00:02.780000;50,0405006408691;8931,3701171875;147754192;-10421670
